SEASON,EPISODE,EPISODE TIME (NETFLIX),RATING (IMDB),YEAR,AIR MONTH,AIR DAY
1,1,25.38,7.1,2014,8,22
1,2,25.34,7.7,2014,8,22
1,3,25.59,7.4,2014,8,22
1,4,25.36,7.4,2014,8,22
1,5,25.32,7.4,2014,8,22
1,6,25.59,7.9,2014,8,22
1,7,25.53,8,2014,8,22
1,8,25.55,8.2,2014,8,22
1,9,26.09,7.9,2014,8,22
1,10,25.53,7.8,2014,8,22
1,11,25.34,8.6,2014,8,22
1,12,26.02,8.1,2014,8,22
2,1,26.33,8,2015,7,17
2,2,26.07,7.9,2015,7,17
2,3,26.01,7.9,2015,7,17
2,4,26.25,8,2015,7,17
2,5,26.07,8,2015,7,17
2,6,26.03,7.7,2015,7,17
2,7,26.15,8.1,2015,7,17
2,8,25.59,8.2,2015,7,17
2,9,26.15,8.1,2015,7,17
2,10,26.15,8.2,2015,7,17
2,11,26.03,8.7,2015,7,17
2,12,26.05,8.1,2015,7,17
3,1,26.05,7.9,2016,7,22
3,2,26.1,8,2016,7,22
3,3,26.07,7.4,2016,7,22
3,4,26.21,9.1,2016,7,22
3,5,26.17,8.1,2016,7,22
3,6,26.03,8,2016,7,22
3,7,26.09,8.1,2016,7,22
3,8,26.17,7.9,2016,7,22
3,9,26.03,8.1,2016,7,22
3,10,27.07,8.2,2016,7,22
3,11,26.07,9,2016,7,22
3,12,26.27,8.3,2016,7,22
4,1,26.33,7.7,2017,9,8
4,2,26.4,9.1,2017,9,8
4,3,26.41,8.2,2017,9,8
4,4,26.19,7.8,2017,9,8
4,5,26.21,8.1,2017,9,8
4,6,26.09,8.9,2017,9,8
4,7,26.21,8.1,2017,9,8
4,8,26.13,7.6,2017,9,8
4,9,26.43,8.7,2017,9,8
4,10,26.23,8.2,2017,9,8
4,11,26.29,9.7,2017,9,8
4,12,26.33,8.7,2017,9,8
5,1,26.15,8,2018,9,14
5,2,27.09,9,2018,9,14
5,3,26.17,8.1,2018,9,14
5,4,26.07,8.2,2018,9,14
5,5,26.09,8.5,2018,9,14
5,6,26.09,9.8,2018,9,14
5,7,26.19,8.9,2018,9,14
5,8,26.05,8.5,2018,9,14
5,9,26.21,8.3,2018,9,14
5,10,26.15,9,2018,9,14
5,11,26.07,9.5,2018,9,14
5,12,26.19,9.1,2018,9,14
